epoch,bonangbarung_separation_loss,bonangpenerus_separation_loss,class_bonangbarung_acc,class_bonangbarung_loss,class_bonangpenerus_acc,class_bonangpenerus_loss,class_demung_acc,class_demung_loss,class_gong_acc,class_gong_loss,class_kendhang_acc,class_kendhang_loss,class_peking_acc,class_peking_loss,class_saron_acc,class_saron_loss,class_slenthem_acc,class_slenthem_loss,demung_separation_loss,gong_separation_loss,kendhang_separation_loss,loss,peking_separation_loss,saron_separation_loss,slenthem_separation_loss,val_bonangbarung_separation_loss,val_bonangpenerus_separation_loss,val_class_bonangbarung_acc,val_class_bonangbarung_loss,val_class_bonangpenerus_acc,val_class_bonangpenerus_loss,val_class_demung_acc,val_class_demung_loss,val_class_gong_acc,val_class_gong_loss,val_class_kendhang_acc,val_class_kendhang_loss,val_class_peking_acc,val_class_peking_loss,val_class_saron_acc,val_class_saron_loss,val_class_slenthem_acc,val_class_slenthem_loss,val_demung_separation_loss,val_gong_separation_loss,val_kendhang_separation_loss,val_loss,val_peking_separation_loss,val_saron_separation_loss,val_slenthem_separation_loss
0,0.3843039,0.38836923,1.0,0.00648656,0.9849737,0.029226463,0.98797894,0.037953973,1.0,0.009199648,0.99849737,0.013789933,0.99774605,0.031593725,1.0,0.0080516385,0.9849737,0.03113491,0.28860506,0.35024312,0.35854274,2.9370398510675697,0.22859351,0.38579807,0.37866724,0.20898242,0.19183423,1.0,0.0034123308,1.0,0.017918745,1.0,0.00065593276,1.0,0.0014790492,1.0,0.005141614,1.0,0.0002489629,1.0,0.0040909457,1.0,0.0048564775,0.27124643,0.25614917,0.23484114,1.9355933938298497,0.2415937,0.24329107,0.25110984
1,0.19503365,0.20439656,1.0,0.0058925613,1.0,0.008223213,0.99774605,0.04317089,1.0,0.00598646,1.0,0.005943155,0.99774605,0.029674154,1.0,0.0057122787,1.0,0.011923485,0.24628901,0.18511148,0.1738879,1.7393292931127513,0.21686672,0.18052077,0.21842818,0.03583374,0.05699622,1.0,0.15989506,1.0,0.19081695,1.0,0.009028256,1.0,0.08196685,1.0,0.0733599,1.0,0.0028222827,1.0,0.11823761,1.0,0.14437178,0.25344074,0.063381225,0.08565432,1.6476445165840354,0.24191786,0.06312296,0.06397074
2,0.1253061,0.13602,1.0,0.003846197,1.0,0.008170263,0.99774605,0.040521905,1.0,0.006834263,1.0,0.00492406,0.99774605,0.030204667,1.0,0.0041906517,1.0,0.010905792,0.23129998,0.119198404,0.1194623,1.324074478188822,0.21088766,0.1167709,0.15390977,0.016926989,0.030977976,1.0,0.19933046,1.0,0.23786113,1.0,0.009944813,1.0,0.24741907,1.0,0.15544671,1.0,0.004949045,1.0,0.1150803,1.0,5.030221e-06,0.252158,0.01771497,0.041190792,2.33439966866204,0.24895416,0.046114985,0.7107315
3,0.07766024,0.094038114,1.0,0.0027903127,1.0,0.007519116,0.99774605,0.016725164,1.0,0.0059463987,1.0,0.0042106663,0.99774605,0.016026434,1.0,0.0038132267,1.0,0.010948311,0.2294078,0.07899248,0.085325025,1.0270398417690658,0.21242821,0.08041586,0.10001888,0.017349938,0.026558476,1.0,0.07039224,1.0,0.13207853,1.0,0.0038898075,1.0,0.11127069,1.0,0.08137383,1.0,0.00015854373,1.0,0.08446586,1.0,0.1398568,0.25416857,0.01918818,0.032085642,1.2668657012887903,0.24152587,0.028412953,0.022997508
4,0.048216235,0.06264695,1.0,0.001954376,1.0,0.0062702997,0.99774605,0.021688389,1.0,0.004442754,1.0,0.003535174,0.99774605,0.02302243,1.0,0.002969216,1.0,0.0110547235,0.22656234,0.052170172,0.06144049,0.8560484406824491,0.20697632,0.057765078,0.06482728,0.54588103,0.5547667,1.0,0.0003890422,1.0,0.0013092954,1.0,0.00011937752,1.0,0.00077140285,1.0,0.0008335604,1.0,0.028403914,1.0,0.00065821083,1.0,0.00247175,0.42637685,0.5415439,0.55578846,4.0628014391249,0.28779578,0.55501866,0.5436851
5,0.034051657,0.045344897,1.0,0.0014460603,1.0,0.0060320403,0.99774605,0.017238038,1.0,0.0034508049,1.0,0.00334099,0.99774605,0.021441886,1.0,0.0027897193,1.0,0.00864094,0.2304857,0.0364725,0.04644572,0.760770177948663,0.21330784,0.043979842,0.045182005,0.052110396,0.09286356,1.0,0.0015106606,1.0,0.0105181895,1.0,0.00232637,1.0,0.0044074897,1.0,0.0070813275,1.0,0.012171126,1.0,0.0065512243,1.0,0.01654373,0.24996392,0.038859006,0.09514752,0.9329346472078616,0.25345543,0.065448515,0.02632305
6,0.02695403,0.035927076,1.0,0.0010236682,1.0,0.0049943104,0.99774605,0.018377699,1.0,0.0024007517,1.0,0.0029517286,0.99774605,0.024899196,1.0,0.0023907267,1.0,0.0065942383,0.2265368,0.02835598,0.036787823,0.695755039812657,0.20878904,0.035175882,0.033079688,0.16785905,0.16520897,1.0,0.00052113476,1.0,0.005023402,1.0,0.0076920977,1.0,0.0009442379,1.0,0.0055739437,1.0,0.011252277,1.0,0.0062186304,1.0,0.0067563346,0.26005602,0.18111971,0.15286052,1.4243659443325467,0.23796502,0.13467734,0.08270672
7,0.021969877,0.028280279,1.0,0.00093597476,1.0,0.0046241567,0.99774605,0.016286442,1.0,0.002053215,1.0,0.0029075472,0.99774605,0.020659447,1.0,0.0023495,1.0,0.005611962,0.22359459,0.022809986,0.028958853,0.6443911431249508,0.2090894,0.027775092,0.025938082,0.012958835,0.015242496,1.0,0.0013349323,1.0,0.008747827,1.0,0.001441562,1.0,0.0032316775,1.0,0.005658499,1.0,0.003861409,1.0,0.00575508,1.0,0.009287119,0.24431215,0.0132244555,0.015111918,0.6009925196657667,0.22939993,0.015140086,0.01391996
8,0.017986566,0.022577757,1.0,0.000944777,1.0,0.0041280366,0.99774605,0.0144029455,1.0,0.0020704046,1.0,0.002433459,0.99774605,0.020544881,1.0,0.0019906035,1.0,0.0051141335,0.22025828,0.018751828,0.022838458,0.6054205909696044,0.20787981,0.022057587,0.021137318,0.012984481,0.014559113,1.0,0.00058547716,1.0,0.004319985,1.0,0.0013014214,1.0,0.0015205191,1.0,0.0023449743,1.0,0.0016189953,1.0,0.002130323,1.0,0.0049746074,0.24336058,0.0133088445,0.0145409005,0.5789567835338123,0.23004249,0.014504826,0.01418558
9,0.019418586,0.02288022,1.0,0.0006673621,1.0,0.002781685,0.99774605,0.014647139,1.0,0.0014284373,1.0,0.0014862319,0.99774605,0.021187985,1.0,0.0012012038,1.0,0.0036456787,0.2189352,0.020326497,0.02313442,0.6008180641393568,0.20584406,0.022122953,0.021083003,0.9614662,0.9634,1.0,4.0002374e-27,1.0,4.1199963e-20,1.0,0.010406886,1.0,1.362731e-27,1.0,8.0421e-21,1.0,0.00024304679,1.0,1.3276261e-06,1.0,4.1834468e-23,0.4131091,0.96179324,0.9592303,6.136281806785423,0.48004946,0.42927238,0.959568
