epoch,bonangbarung_separation_loss,bonangpenerus_separation_loss,class_bonangbarung_accuracy,class_bonangbarung_loss,class_bonangpenerus_accuracy,class_bonangpenerus_loss,class_demung_accuracy,class_demung_loss,class_gong_accuracy,class_gong_loss,class_kendhang_accuracy,class_kendhang_loss,class_peking_accuracy,class_peking_loss,class_saron_accuracy,class_saron_loss,class_slenthem_accuracy,class_slenthem_loss,demung_separation_loss,gong_separation_loss,kendhang_separation_loss,loss,peking_separation_loss,saron_separation_loss,slenthem_separation_loss,val_bonangbarung_separation_loss,val_bonangpenerus_separation_loss,val_class_bonangbarung_accuracy,val_class_bonangbarung_loss,val_class_bonangpenerus_accuracy,val_class_bonangpenerus_loss,val_class_demung_accuracy,val_class_demung_loss,val_class_gong_accuracy,val_class_gong_loss,val_class_kendhang_accuracy,val_class_kendhang_loss,val_class_peking_accuracy,val_class_peking_loss,val_class_saron_accuracy,val_class_saron_loss,val_class_slenthem_accuracy,val_class_slenthem_loss,val_demung_separation_loss,val_gong_separation_loss,val_kendhang_separation_loss,val_loss,val_peking_separation_loss,val_saron_separation_loss,val_slenthem_separation_loss
0,0.18594177067279816,0.16441750526428223,1.0,0.009378818795084953,0.9947447180747986,0.016331499442458153,0.9977477192878723,0.037505414336919785,0.9969969987869263,0.014616931788623333,0.9842342138290405,0.02907932549715042,0.9969969987869263,0.04046604037284851,0.9962462186813354,0.016475889831781387,0.9879879951477051,0.01924019120633602,0.11789074540138245,0.19932107627391815,0.20470470190048218,1.5403326749801636,0.0782175287604332,0.19889719784259796,0.20784816145896912,0.13762494921684265,0.09346704185009003,1.0,0.0005230645183473825,1.0,0.0030002372805029154,0.9969969987869263,0.021562820300459862,1.0,0.0011561616556718946,1.0,0.0008917322265915573,0.9969969987869263,0.024272317066788673,1.0,0.0005792724550701678,1.0,0.0009570227121002972,0.10533808916807175,0.11870423704385757,0.13065464794635773,1.0054608583450317,0.09452297538518906,0.13806971907615662,0.1341366171836853
1,0.08021076023578644,0.05950929969549179,1.0,0.0034472125116735697,1.0,0.006924475077539682,0.9977477192878723,0.018810046836733818,1.0,0.0043974388390779495,1.0,0.004137628711760044,0.9977477192878723,0.018809104338288307,1.0,0.003859397256746888,1.0,0.004647710360586643,0.09494573622941971,0.07373332977294922,0.0842352882027626,0.6929448246955872,0.0739268809556961,0.08070085197687149,0.08064979314804077,0.049059923738241196,0.04050127789378166,1.0,0.00556993018835783,1.0,0.010631796903908253,0.9969969987869263,0.021246783435344696,1.0,0.005128943361341953,1.0,0.009157316759228706,0.9969969987869263,0.0219339057803154,1.0,0.007872296497225761,1.0,0.006390787195414305,0.09336916357278824,0.05236218869686127,0.05229790881276131,0.565498411655426,0.08444823324680328,0.05041657015681267,0.05511140078306198
2,0.04272084683179855,0.03631218150258064,1.0,0.004306100308895111,1.0,0.005533539690077305,0.9977477192878723,0.022409716621041298,1.0,0.0051520164124667645,1.0,0.007365335710346699,0.9977477192878723,0.021828684955835342,1.0,0.005406268872320652,1.0,0.005874578841030598,0.08599885553121567,0.03962794691324234,0.04220562055706978,0.48067668080329895,0.07006048411130905,0.042784031480550766,0.043090444058179855,0.045660924166440964,0.0359937809407711,1.0,0.0009959887247532606,1.0,0.0022602586541324854,0.9969969987869263,0.02095610648393631,1.0,0.00091228709788993,1.0,0.003986719995737076,0.9969969987869263,0.020747307687997818,1.0,0.004025505390018225,1.0,0.0009598747128620744,0.0952574610710144,0.04935116320848465,0.0415831133723259,0.4990452826023102,0.08548307418823242,0.03718283027410507,0.05368884652853012
3,0.028026703745126724,0.02563622035086155,1.0,0.004048852249979973,1.0,0.0047539956867694855,0.9977477192878723,0.022091401740908623,1.0,0.004571441560983658,1.0,0.006099098827689886,0.9977477192878723,0.02153196930885315,1.0,0.004965377040207386,1.0,0.005192874930799007,0.08283879607915878,0.0273901280015707,0.029799601063132286,0.39424455165863037,0.06883830577135086,0.029080424457788467,0.02937941811978817,0.023013895377516747,0.018480081111192703,1.0,0.0035813094582408667,1.0,0.0082197654992342,0.9969969987869263,0.02067498303949833,1.0,0.0035141638945788145,1.0,0.008393462747335434,0.9969969987869263,0.02127568982541561,1.0,0.010121207684278488,1.0,0.002858181716874242,0.09461712837219238,0.02535506710410118,0.022883588448166847,0.39249321818351746,0.08126913756132126,0.019952353090047836,0.02828320302069187
4,0.02039329521358013,0.019530579447746277,1.0,0.0033920016139745712,1.0,0.003980162553489208,0.9977477192878723,0.020036840811371803,1.0,0.0038319805171340704,1.0,0.005093459039926529,0.9977477192878723,0.01949077472090721,1.0,0.004165212623775005,1.0,0.004382050596177578,0.08038388192653656,0.020619891583919525,0.022936910390853882,0.34065431356430054,0.06832505762577057,0.021870486438274384,0.022221742197871208,0.03839859738945961,0.02087346836924553,1.0,0.00011922808334929869,1.0,0.0013091096188873053,0.9969969987869263,0.021071605384349823,1.0,0.0009190829587168992,1.0,0.0058373333886265755,0.9969969987869263,0.022680766880512238,1.0,0.005024618469178677,1.0,0.000602906453423202,0.09771306067705154,0.026631664484739304,0.017566965892910957,0.3878486752510071,0.08098068833351135,0.016378454864025116,0.03174114599823952
5,0.016904251649975777,0.016886496916413307,1.0,0.0031467843800783157,1.0,0.003687263000756502,0.9977477192878723,0.022601814940571785,1.0,0.003538744291290641,1.0,0.004704322665929794,0.9977477192878723,0.020613377913832664,1.0,0.0038973717018961906,1.0,0.004082437604665756,0.08051415532827377,0.01735047437250614,0.019534897059202194,0.3231016993522644,0.06846753507852554,0.018470533192157745,0.018701253458857536,0.008402848616242409,0.009138334542512894,1.0,0.014192953705787659,1.0,0.011358944699168205,0.9969969987869263,0.020859437063336372,1.0,0.018578706309199333,1.0,0.010694325901567936,0.9969969987869263,0.020737754181027412,1.0,0.008381575345993042,1.0,0.021989163011312485,0.09462541341781616,0.008221235126256943,0.011819764040410519,0.3602655529975891,0.08165129274129868,0.011107717640697956,0.008506081998348236
6,0.013758009299635887,0.014113311655819416,1.0,0.002624437678605318,1.0,0.0029384854715317488,0.9977477192878723,0.019053960219025612,1.0,0.0029363692738115788,1.0,0.003937235567718744,0.9977477192878723,0.018617777153849602,1.0,0.00311820930801332,1.0,0.003322064643725753,0.08057811111211777,0.014566997066140175,0.01638859324157238,0.2955588102340698,0.06874378025531769,0.015263541601598263,0.015597900375723839,0.006427816580981016,0.006900805048644543,1.0,0.009651299566030502,1.0,0.010122306644916534,0.9969969987869263,0.021033400669693947,1.0,0.013938425108790398,1.0,0.012354936450719833,0.9969969987869263,0.025615880265831947,1.0,0.010305516421794891,1.0,0.008885843679308891,0.09205632656812668,0.006273163016885519,0.008185702376067638,0.32529932260513306,0.07762773334980011,0.007508436683565378,0.008411743678152561
7,0.011514801532030106,0.011831997893750668,1.0,0.0026366536039859056,1.0,0.003057352500036359,0.9977477192878723,0.02451310120522976,1.0,0.003018223913386464,1.0,0.003855185816064477,0.9977477192878723,0.021777886897325516,1.0,0.0031949433032423258,1.0,0.0034255986101925373,0.07878758758306503,0.012295887805521488,0.013937613926827908,0.28827959299087524,0.0685150995850563,0.012823550030589104,0.013094132766127586,0.00437633553519845,0.003961952868849039,1.0,0.025219740346074104,1.0,0.038944464176893234,0.9969969987869263,0.03007805161178112,1.0,0.041317202150821686,1.0,0.04247213155031204,0.9969969987869263,0.040271177887916565,1.0,0.03930322080850601,1.0,0.04894080013036728,0.12641139328479767,0.004235564265400171,0.0053492761217057705,0.636417031288147,0.17628812789916992,0.004747718572616577,0.004499818664044142
8,0.010305841453373432,0.01098037138581276,1.0,0.0023164923768490553,1.0,0.002566610462963581,0.9977477192878723,0.016642486676573753,1.0,0.0025720461271703243,1.0,0.0032873034942895174,0.9977477192878723,0.019861703738570213,1.0,0.002793700899928808,1.0,0.0028730405028909445,0.07983437180519104,0.011174282059073448,0.012878586538136005,0.270324170589447,0.06862547248601913,0.011606907472014427,0.012004872784018517,0.006471391301602125,0.006571609526872635,1.0,0.004086049739271402,1.0,0.005149374715983868,0.9969969987869263,0.01842915453016758,1.0,0.006567785982042551,1.0,0.008260105736553669,0.9969969987869263,0.02060198411345482,1.0,0.005154913756996393,1.0,0.004874353297054768,0.08834563940763474,0.006197907961905003,0.0073287636041641235,0.28066563606262207,0.07732614129781723,0.00747425714507699,0.007826174609363079
9,0.009558097459375858,0.010133122093975544,1.0,0.002068477449938655,1.0,0.0023744930513203144,0.9977477192878723,0.013067466206848621,1.0,0.002366048051044345,1.0,0.00306496093980968,0.9977477192878723,0.015058565884828568,1.0,0.00250212661921978,1.0,0.0026746036019176245,0.07922188937664032,0.010319646447896957,0.011868339031934738,0.2550331950187683,0.06898432970046997,0.010761597193777561,0.01100944820791483,0.005184637848287821,0.007752147037535906,1.0,0.005757433827966452,1.0,0.0036857619415968657,0.9969969987869263,0.028973205015063286,1.0,0.01900332048535347,1.0,0.009801053442060947,0.9969969987869263,0.039573460817337036,1.0,0.008175606839358807,1.0,0.008585556410253048,0.12689994275569916,0.005016143899410963,0.007329425308853388,0.3890307545661926,0.10137289017438889,0.005768581759184599,0.006151651032269001
