epoch,bonangbarung_separation_loss,bonangpenerus_separation_loss,class_bonangbarung_accuracy,class_bonangbarung_loss,class_bonangpenerus_accuracy,class_bonangpenerus_loss,class_demung_accuracy,class_demung_loss,class_gong_accuracy,class_gong_loss,class_kendhang_accuracy,class_kendhang_loss,class_peking_accuracy,class_peking_loss,class_saron_accuracy,class_saron_loss,class_slenthem_accuracy,class_slenthem_loss,demung_separation_loss,gong_separation_loss,kendhang_separation_loss,loss,peking_separation_loss,saron_separation_loss,slenthem_separation_loss,val_bonangbarung_separation_loss,val_bonangpenerus_separation_loss,val_class_bonangbarung_accuracy,val_class_bonangbarung_loss,val_class_bonangpenerus_accuracy,val_class_bonangpenerus_loss,val_class_demung_accuracy,val_class_demung_loss,val_class_gong_accuracy,val_class_gong_loss,val_class_kendhang_accuracy,val_class_kendhang_loss,val_class_peking_accuracy,val_class_peking_loss,val_class_saron_accuracy,val_class_saron_loss,val_class_slenthem_accuracy,val_class_slenthem_loss,val_demung_separation_loss,val_gong_separation_loss,val_kendhang_separation_loss,val_loss,val_peking_separation_loss,val_saron_separation_loss,val_slenthem_separation_loss
0,0.2294810712337494,0.20903871953487396,0.9969969987869263,0.014196579344570637,0.990240216255188,0.018650690093636513,0.9932432174682617,0.039340075105428696,0.9714714884757996,0.05026085302233696,0.9819819927215576,0.029862254858016968,0.9977477192878723,0.029055969789624214,0.9909909963607788,0.018534865230321884,0.9894894957542419,0.02049601636826992,0.11777551472187042,0.20576655864715576,0.22665421664714813,1.7460812330245972,0.08124884963035583,0.22970181703567505,0.22601744532585144,0.16169233620166779,0.12764239311218262,1.0,0.00022830536181572825,1.0,0.0009255647310055792,0.9969969987869263,0.02170366421341896,1.0,0.0013244696892797947,1.0,0.0002839248045347631,0.9969969987869263,0.02027125656604767,1.0,0.00037653546314686537,1.0,0.00032575338263995945,0.10520869493484497,0.11948294937610626,0.163250133395195,1.1105730533599854,0.08690229803323746,0.14580780267715454,0.15514712035655975
1,0.10225251317024231,0.08888759464025497,1.0,0.0025721783749759197,1.0,0.003987179137766361,0.9977477192878723,0.022886818274855614,1.0,0.005610790569335222,1.0,0.002712644636631012,0.9977477192878723,0.024248318746685982,1.0,0.002286624163389206,1.0,0.0029587633907794952,0.09871669113636017,0.08018127828836441,0.10121844708919525,0.8103861212730408,0.0715203583240509,0.1006329283118248,0.09971294552087784,0.03936381638050079,0.03649703413248062,1.0,0.014553369022905827,1.0,0.013719609938561916,0.9969969987869263,0.020068423822522163,1.0,0.015579883940517902,1.0,0.012229256331920624,0.9969969987869263,0.020946193486452103,1.0,0.012713090516626835,1.0,0.016183454543352127,0.0967235416173935,0.03840827941894531,0.04440801218152046,0.5457391738891602,0.08434922993183136,0.04061185196042061,0.039384130388498306
2,0.04676207900047302,0.04546163231134415,1.0,0.00518175819888711,1.0,0.005512637086212635,0.9977477192878723,0.01709405705332756,1.0,0.008241383358836174,1.0,0.007151135243475437,0.9977477192878723,0.019697969779372215,1.0,0.00646570511162281,1.0,0.00653075659647584,0.09346421808004379,0.043145712465047836,0.04493814706802368,0.5086590051651001,0.07151840627193451,0.04181303828954697,0.045680511742830276,0.019489379599690437,0.01646178402006626,1.0,0.02174273319542408,1.0,0.028122352436184883,0.9969969987869263,0.0196340661495924,1.0,0.0217837393283844,1.0,0.018696743994951248,0.9969969987869263,0.02376498281955719,1.0,0.013980988413095474,1.0,0.021640675142407417,0.09816500544548035,0.020480748265981674,0.023731859400868416,0.47407013177871704,0.083314910531044,0.022711748257279396,0.02034844644367695
3,0.029764290899038315,0.02841324917972088,1.0,0.004426600411534309,1.0,0.005180263891816139,0.9977477192878723,0.023703662678599358,1.0,0.007008503191173077,1.0,0.006145194638520479,0.9977477192878723,0.02584143728017807,1.0,0.005717486143112183,1.0,0.005548585671931505,0.08730467408895493,0.02994871512055397,0.030441055074334145,0.4150654673576355,0.0686282217502594,0.027408484369516373,0.029584981501102448,0.014077345840632915,0.019023943692445755,1.0,0.01581195369362831,1.0,0.008998589590191841,0.9969969987869263,0.021535733714699745,1.0,0.028752608224749565,1.0,0.02530529350042343,0.9969969987869263,0.019816929474473,1.0,0.01464261207729578,1.0,0.023154789581894875,0.10104647278785706,0.013147160410881042,0.013998468406498432,0.43028634786605835,0.08388397842645645,0.014386779628694057,0.012703689746558666
4,0.020888997241854668,0.020736493170261383,1.0,0.004228151403367519,1.0,0.004624488297849894,0.9977477192878723,0.020071156322956085,1.0,0.006227647420018911,1.0,0.005286683328449726,0.9977477192878723,0.020875392481684685,1.0,0.00495195621624589,1.0,0.0047941929660737514,0.08521009236574173,0.023084618151187897,0.022580977529287338,0.35439395904541016,0.06927414983510971,0.020099185407161713,0.02145969122648239,0.012290019541978836,0.010027524083852768,1.0,0.00801918376237154,1.0,0.015291278250515461,0.9969969987869263,0.01971065253019333,1.0,0.008039075881242752,1.0,0.00667047081515193,0.9969969987869263,0.023442605510354042,1.0,0.0042582000605762005,1.0,0.00609910674393177,0.09752354770898819,0.016686907038092613,0.01642274484038353,0.35780787467956543,0.08224909752607346,0.016111785545945168,0.014965632930397987
5,0.01733827218413353,0.01722046174108982,1.0,0.0037733714561909437,1.0,0.00403097178786993,0.9977477192878723,0.01823921501636505,1.0,0.005471724085509777,1.0,0.00476701557636261,0.9977477192878723,0.018234197050333023,1.0,0.004126611165702343,1.0,0.004264536779373884,0.08450707793235779,0.019699733704328537,0.01856773905456066,0.32320746779441833,0.06835351884365082,0.016788847744464874,0.017824163660407066,0.008706235326826572,0.008256327360868454,1.0,0.011376542039215565,1.0,0.013532031327486038,0.9969969987869263,0.02130289189517498,1.0,0.018973955884575844,1.0,0.009496701881289482,0.9969969987869263,0.018536774441599846,1.0,0.00960066169500351,1.0,0.007159659173339605,0.09619364887475967,0.009329945780336857,0.011478045023977757,0.3485024571418762,0.08383338153362274,0.009424765594303608,0.011300855316221714
6,0.01514456607401371,0.01507636345922947,1.0,0.003166108625009656,1.0,0.0035043987445533276,0.9977477192878723,0.019790168851614,1.0,0.0047446503303945065,1.0,0.004002161789685488,0.9977477192878723,0.021473117172718048,1.0,0.0035396895837038755,1.0,0.003729072166606784,0.0812353789806366,0.017413342371582985,0.016320472583174706,0.30649334192276,0.06708481907844543,0.014688328839838505,0.015580708160996437,0.008033880963921547,0.008308238349854946,1.0,0.01137872040271759,1.0,0.010744290426373482,0.9969969987869263,0.024079222232103348,1.0,0.012809950858354568,1.0,0.01354260928928852,0.9969969987869263,0.021351048722863197,1.0,0.008555346168577671,1.0,0.009708721190690994,0.09499474614858627,0.01010686345398426,0.009135753847658634,0.337180495262146,0.07655506581068039,0.008689932525157928,0.00918612815439701
7,0.013650547713041306,0.013661515899002552,1.0,0.0027334270998835564,1.0,0.002880581421777606,0.9977477192878723,0.01631605252623558,1.0,0.0040220171213150024,1.0,0.003474934259429574,0.9977477192878723,0.01738632842898369,1.0,0.0030613832641392946,1.0,0.003140614600852132,0.08185825496912003,0.01589483767747879,0.01484015490859747,0.28901049494743347,0.06854395568370819,0.013339586555957794,0.014206320978701115,0.00578225078061223,0.006228182930499315,1.0,0.012229288928210735,1.0,0.010009451769292355,0.9969969987869263,0.025034183636307716,1.0,0.009564436040818691,1.0,0.011735665611922741,0.9969969987869263,0.02977188304066658,1.0,0.008012037724256516,1.0,0.010417057201266289,0.09529900550842285,0.008735822513699532,0.007375901099294424,0.32756638526916504,0.07330966740846634,0.00718006631359458,0.006881477776914835
8,0.01214904896914959,0.01213871780782938,1.0,0.002430068328976631,1.0,0.002726987237110734,0.9977477192878723,0.016299931332468987,1.0,0.0036891160998493433,1.0,0.003235406009480357,0.9977477192878723,0.016626175493001938,1.0,0.002769425045698881,1.0,0.0029234641697257757,0.07996955513954163,0.014365114271640778,0.013327396474778652,0.27531698346138,0.06815501302480698,0.011930196546018124,0.012581325136125088,0.007852799259126186,0.00832477305084467,1.0,0.004513352178037167,1.0,0.003966513555496931,0.9969969987869263,0.01893969066441059,1.0,0.007553732022643089,1.0,0.006220371462404728,0.9969969987869263,0.02074228785932064,1.0,0.004293676465749741,1.0,0.0032022118102759123,0.08793378621339798,0.00896549690514803,0.008319222368299961,0.2830117344856262,0.07454011589288712,0.008066008798778057,0.009577681310474873
9,0.01044648326933384,0.010708985850214958,1.0,0.002413711044937372,1.0,0.002442106371745467,0.9977477192878723,0.0139639712870121,1.0,0.0034662517718970776,1.0,0.003006245708093047,0.9977477192878723,0.013033152557909489,1.0,0.0025943079963326454,1.0,0.0027285453397780657,0.07709484547376633,0.012706322595477104,0.011760351248085499,0.2545733153820038,0.06654606759548187,0.010576323606073856,0.01108568999916315,0.0072305817157030106,0.0061975386925041676,1.0,0.00379582354798913,1.0,0.00595620134845376,0.9969969987869263,0.015518073923885822,1.0,0.007661976385861635,1.0,0.004880286753177643,0.9969969987869263,0.019029228016734123,1.0,0.004921201150864363,1.0,0.00543709984049201,0.08984708040952682,0.00773417204618454,0.007975545711815357,0.2732718884944916,0.07335634529590607,0.006652060896158218,0.007078664842993021
